Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
Radio Manipal,Yes,,EDU,Udipi,Karnataka,2008,,25000,576104,90.4,"Kannada, Tulu, Konkani, English","3, 5, 6, 8",13.34843,74.77939,,
Namma Dhwani CRS,Yes,,NGO,Kolar,Karnataka,2008,,8000,563147,90.4,"Kannada, Telegu","1, 3, 4, 5, 6, 13, 16",,,,
Antarvani CRS,Yes,,EDU,Gulbarga,Karnataka,2008,,,585103,90.8,Kannada,"3, 5, 10",17.31861,76.82144,,
Radio Sarang,,,EDU,Dakshina Kannada,Karnataka,2009,,,575003,107.8,Kannada,"3, 4, 6, 13",12.89342,74.83015,,
Sarathi Jhalak,Yes,,NGO,Bangalore Urban,Karnataka,2012,,,560067,90.4,Kannada,"4, 5, 6, 10",12.9813,77.83132,,
Neladani Community Radio Station,,,NGO,Bangalore Urban,Karnataka,2011,,30000,562123,90.8,"Kannada, Hindi","3, 4, 5, 10, 16",13.18454,77.68821,,
Janadhwani CRS,Yes,,EDU,Mysore,Karnataka,2012,,54000,571121,90.8,Kannada,"9, 11, 14",11.98283,76.306,,
KLE Dhwani–BVB,,,EDU,Dharwad,Karnataka,2013,,50000,580031,90.4,Kannada,"4, 11, 12, 13",15.38238,75.11152,,
Namma Naadi,,,EDU,Bangalore Urban,Karnataka,2017,,50000,560099,90.4,Kannada,"3, 4, 5, 10",12.81537,77.68514,,
Nammur Banuli,,,NGO,Belgaum,Karnataka,2016,,25000,591122,90.8,Kannada,"3, 4, 5, 6, 15",15.61913,77.25855,,
KLE Venudhwani,,,EDU,Belgaum,Karnataka,2015,,200000,590010,90.4,"Kannada, Marathi, Hindi, English, Urdu, Konkani","3, 5, 8, 11",15.90468,74.53126,,
Radio Ninada,,,EDU,Dakshina Kannada,Karnataka,2015,,30000,574240,90.4,"Kannada, Tulu, Konkani, English","3, 5, 6, 16",12.91516,75.26369,,
B.E.C. Dhwani,,,EDU,Bagalkot,Karnataka,2020,,25000,587102,90.4,Kannada,"3, 4, 7",16.17154,75.66641,,
Radio Shivamogga,,,NGO,Shivamogga,Karnataka,2022,,50000,577204,90.8,"Kannada, English, Hindi, Tulu, Kodava, Konkani, Lambani, Tamil, Telegu, Marathi, Malayalam, Urdu","2, 4, 5, 6, 7, 8, 13, 16",13.974225,75.516024,,
Radio Manasa,,,EDU,Mysore,Karnataka,2021,,25000,570006,89.6,"Kannada, English","3, 4, 5",12.32168,76.62389,,
Sahakar Radio Gadag,,,KVK,Gadag,Karnataka,,,19000,582205,89.6,Kannada,"3, 12, 16",15.44963,75.47094,,
Radio Siddhartha,Yes,,EDU,Tumkur,Karnataka,2009,,,572105,90.8,Kannada,"3, 4, 5, 6",13.31967,77.0971,,
Radio Panchajanya,,,NGO,Dakshina Kannada,Karnataka,2017,,15000,574203,90.8,"Kannada, English, Hindi, Tulu, Konkani","3, 12",12.779868,75.207064,,
Jnanadhwani Community Radio,,,EDU,Mysore,Karnataka,2020,,,570004,90.8,Kannada,"3, 4, 5",12.29221,76.65054,,
JSS Radio,,,EDU,Mysore,Karnataka,2021,,,570025,91.2,"Hindi, Punjabi","3, 5, 10, 13",28.71651,77.17685,,
Radio DC,Yes,No,,Trivandrum,Kerala,,2006,,695585,90.4,"Malayalam, Hindi, English",,8.58724,76.87704,,
Community Radio Mattoli,Yes,,NGO,Wayanad,Kerala,2007,2009,500000,670645,90.4,"Malayalam, Tribal","2, 3, 4, 5, 6, 10, 11, 12",11.74344,76.0402,,
Radio MACFAST,Yes,,EDU,Pathanamitta,Kerala,2009,,1000000,689101,90.4,Malayalam,"4, 6, 8",9.35892,76.62597,,
Community Radio Benziger,Yes,,NGO,Kollam,Kerala,2010,,300000,691001,107.8,"Malayalam, Tamil, Hindi, Telegu, English","3, 11, 12, 15",8.886913,76.592167,,
Radio Media Village,Yes,,EDU,Kottayam,Kerala,2012,,100000,686104,90.8,"Malayalam, Tamil, Hindi, English","3, 4, 5, 8, 12",9.47072,76.58732,,
Ahalia FM,Yes,,NGO,Palakkad,Kerala,2014,,100000,678557,90.4,"Malayalam, Tamil, English","3, 4, 6, 13",10.814581,76.831733,,
Global Radio,,,NGO,Alappuzha,Kerala,2014,,45000,688651,91.2,"Malayalam, Hindi, English","3, 4, 5, 6",,,,
Janvani,Yes,,NGO,Kannur,Kerala,2012,,75000,670692,90.8,"Malayalam, Tamil, Hindi, English, Sanskrit","3, 4, 5, 13, 14",11.78236,75.58516,,
Ente Radio,,,NGO,Kollam,Kerala,2014,,100000,690544,91.2,Malayalam,"1, 2, 3, 5, 6",9.06782,76.52281,,
Radio Mangalam,,,EDU,Kottayam,Kerala,2016,,,686631,91.2,"Malayalam, Hindi, English","4, 5, 8, 12",9.674135,76.566162,,
Hello Radio,,,NGO,Thrissur,Kerala,2017,,100000,680020,90.8,Malayalam,"2, 3, 4, 16",10.532604,76.205904,,
Radio Neythal,,,NGO,Alappuzha,Kerala,,,400000,68800,107.8,Malayalam,"3, 4, 5, 8, 14",,,,
Kuttanadu Radio,,,KVK,Thiruvananthapuram,Kerala,2017,,,695003,90,Malayalam,"12, 15",8.52854,76.96281,,
Radio Kochi,,,EDU,Ernakulam,Kerala,2021,,200000,682011,90,"Malayalam, Hindi, English","13, 11, 4, 5",9.97023,76.2801,,
Radio 90 FM,,,EDU,Kottayam,Kerala,2022,,90000,686518,90,Malayalam,"3, 4, 5, 6, 7, 8, 9, 10, 11",9.49362,76.86002,,
Galaxy Karunasai Radio,,,NGO,Thiruvananthapuram,Kerala,2022,,82000,695543,91.2,Malayalam,"3, 4, 5, 6",8.5991,76.97639,,
Sargakshetra FM,,,NGO,Kottayam,Kerala,2022,,,686561,89.6,Malayalam,"1, 2, 3, 4, 5, 8, 10",10.07116,76.74609,,
My Radio,,,NGO,Thrissur,Kerala,2022,,36000,680004,90,Malayalam,"3, 4, 15",10.51822,76.20483,,
Radio Malabar,,,NGO,Kannur,Kerala,2022,,150000,670702,89.6,"Malayalam, Hindi, English, Sanskrit","1, 4, 5, 6",11.85715,75.65673,,
Radio DC,,,EDU,Kottayam,Kerala,2005,,20000,695581,90.4,"Malayalam, Hindi, English","4, 5, 8, 10",8.561078,76.889391,,
Radio Popcorn,,,EDU,Bhopal,MP,2008,,5000,462026,90.4,"Hindi, English","3, 4, 8, 9",23.179683,77.441512,,
Kisan Vani CRS,Yes,,NGO,Vidisha,MP,,2008,150000,452006,90.4,"Hindi, Bundeli","1, 12, 13, 15",17.66744,75.9172,,
Radio Dhadkan,Yes,,NGO,Gwalior,MP,2010,,25000,473551,107.8,Hindi,"1, 2, 3, 4, 5, 6, 13",25.45091,77.7798,,
Chander Ki Awaz,Yes,,NGO,Chanderi,MP,2010,,120000,473446,90.4,Hindi,"1, 3, 4, 5, 8, 9, 10",24.756815,78.065193,,
Vanya Radio Sesaipura,Yes,,EDU,Sheopur,MP,2012,,,476355,90.8,"Hindi, Sahriya","3, 11, 15, 16",25.510867,77.056446,,
Vanya Radio Nalchha,Yes,,EDU,Dharwad,MP,2013,,22000,454010,90.8,"Hindi, Bhili","3, 4, 10, 12",22.57813,75.54043,,
Vanya Radio CSAN (Bhabra),Yes,,EDU,Alirajpur,MP,2011,,22000,457882,90.4,"Hindi, Bhili","3, 10, 15",22.579445,74.335286,,
Vanya Radio Khalwa,Yes,,EDU,Khandwa,MP,2011,,100000,450117,90.4,"Hindi, Korku","4, 12, 15, 16",22.01768,76.71136,,
Vanya Radio Chanda,Yes,,NGO,Dindori,MP,2013,,35000,454010,90.4,"Hindi, Baigani","3, 4, 8, 16",22.57813,75.54043,,
Vanya Radio Chicholi,Yes,,EDU,Betul,MP,2012,,70000,460330,90.4,"Hindi, Gondi","3, 11, 12, 15",22.2972,77.57341,,
Vanya Radio Bijori,,,NGO,Bhopal,MP,2012,,,480559,90.4,"Hindi, Bhariya","3, 5, 10,16",22.509857,78.747621,,
Vanya Radio Meghnagar,,,EDU,Jhabua,MP,2013,,,457779,90.4,"Hindi, Bhili","3, 4, 8, 10",22.96173,74.86162,,
Radio Tantya Bhil,,,NGO,Jhabua,MP,2022,,100000,457661,90.8,"Hindi, Bhili","1, 2, 3, 4, 5, 6, 13, 16",22.76585,74.80014,,
Radio Awaaz,Yes,,NGO,Sehore,MP,2013,,,466651,91.2,Hindi,"3, 12",23.389785,77.079471,,
Radio Mann,,,NGO,Vidisha,MP,2015,,200000,464001,90.8,,"3, 4, 8, 16",23.532267,77.973865,,
Radio Life,,,NGO,Sagar,MP,2018,,50000,470113,90.4,Hindi,"4, 8, 12, 15",24.27148,78.21893,,
Radio Time,,,NGO,Sagar,MP,2018,,,470001,90.8,Hindi,"3, 4, 5, 10",23.81056,78.73626,,
Radio Dastak,,,NGO,Ujjain,MP,2019,,250000,456010,90.8,"Hindi, Malvi","1, 2, 3, 4, 5",23.16237,75.80848,,
Radio Guru,,,NGO,Guna,MP,2022,,,473001,90.4,Hindi,"4, 5, 8, 16",24.703916,77.424297,,
Radio Goonj,,,NGO,Gwalior,MP,2021,,,474002,90.8,Hindi,"3, 5, 12",26.19626,78.17995,,
Radio Shiv Sundaram,,,NGO,Raisen,MP,2022,,34000,464881,90.4,Hindi,"3, 4, 5",23.480065,78.52065,,
Bundeli Radio,,,NGO,Hamirpur,MP,,,95000,471201,90.8,"Hindi, English, Bundeli","3, 4, 6, 13",25.025641,79.447886,,
Azad Hind Radio,Yes,,NGO,Bhopal,MP,,2012,,462002,90.8,Hindi,"4, 16",28.71231,77.11924,,
Radio Bundelkhand,Yes,,NGO,Tikamgarh,MP,2008,,,472246,90.4,"Hindi, Bundeli","4, 5, 6, 8, 13",25.34834,78.58921,,
KVK Pravara CR,Yes,No,,Ahmednagar,Maharashtra,,2009,,413737,90.8,Marathi,,19.66677,74.51164,,
MUST Radio,Yes,No,,Mumbai,Maharashtra,,2008,,400055,107.8,"Malayalam, Hindi, English",,19.08367,72.84018,,
Radio FTII,Yes,No,,Pune,Maharashtra,,2007,,411004,90.4,"Marathi, Hindi, English",,18.51123,73.82343,,
Radio Mast,Yes,No,,Nashik,Maharashtra,,2011,,423105,90.4,"Marathi, Hindi, English, Urdu, Ahirani, Khandeshi",,20.567941,74.663464,,
Sadhana Radio,Yes,No,,Amravati,Maharashtra,,2012,,444701,90.4,"Marathi, Hindi",,20.791392,77.69942,,
Vidyavani Community Radio,Yes,,EDU,Pune,Maharashtra,2005,,30000,411007,107.4,"Marathi, Hindi, English","3, 4, 5, 11, 13",18.552157,73.815439,,
Vasundhara Krishi Vahini,Yes,,EDU,Pune,Maharashtra,2004,,200000,413133,90.4,Marathi ,"3, 10, 11, 12, 17",18.210592,74.581477,,
Tarang Vahini,Yes,,NGO,Satara,Maharashtra,2008,,160000,415509,90.4,Hindi,"3, 5, 12, 13",19.85998,73.04495,,
Green Community Radio,Yes,,NGO,Sangli,Maharashtra,2010,,40000,416416,90.4,Marathi,"3, 5, 8, 16",16.871756,74.53461,,
Swaranant Community Radio,Yes,,KVK,Washim,Maharashtra,2010,,250000,444506,90.4,Marathi,"3, 8, 12",19.3175,84.80221,,
Sharada Krishi Vahini,Yes,,KVK,Pune,Maharashtra,2011,,350000,413115,90.8,Marathi,"1, 3, 4, 5, 6, 13",18.11424,74.51516,,
